What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,,,,,,,,,,,,,,,Which desktop operating system do you use the most?,What best describes your career / job satisfaction? ,"Including bonus, what is your annual compensation in USD?",Have you visited / Are you aware of Stack Overflow Careers?,Do you have a Stack Overflow Careers Profile?,"You answered you don't have a Careers profile, can you elaborate why?",,Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,Which of our sites do you frequent most?,
Netherlands,,20-24,<2,Manufacturing,Mature Small Business (25-100),Other,,,,,,No Involvement,,,,,,,,,Other,,,,PHP,,,,SQL,C#,,,,,,,Windows XP,Its a paycheck,"<$20,000",Yes,Yes,,,,,,,Other Smart Phone,,,,,,,,,,,,,,,,"$501-$1,000",Agree,Agree,,Neutral,Agree,Strongly Disagree,ReSharper (maybe!),1000,Stack Overflow,
Australia,,< 20,<2,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,,,,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Web Platform,,JavaScript,CSS,PHP,,,,,,,,,HTML5,,,Windows 7,Love my job,"$20,000 - $40,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,Xbox,,,,,Other tablet,,"$1,001-$2,000",Agree,Agree,Agree,Agree,,Strongly Disagree,,5000,Stack Overflow,
Other Europe,,30-34,11,Software Products,Mature Small Business (25-100),Server Programmer,,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,Other,"<$10,000",Mobile,Java,,,,,,,,C#,,,,,,,Windows 7,I enjoy going to work,"$20,000 - $40,000",No,No thank you,Other (please specify),No jobs here in my region,,Android,,,,,,,,,,,,,,,,,,,$251-$500,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Disagree,,1,Stack Overflow,
Netherlands,,20-24,40944,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,20-24,<2,Web Services,Mature Small Business (25-100),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,,,,,SQL,,,,,,,,Windows XP,I enjoy going to work,Rather not say,No,No thank you,Didn't know about Careers before you asked,,,,,,,Regular Mobile Phone,,,,,,,,,,,,,,,<$100,Neutral,Agree,Neutral,Agree,Strongly Disagree,Disagree,,Don't have an account,Stack Overflow,
Germany,,25-29,40944,Software Products,Mid Sized (100-999),Desktop Application Developer,,Recommender,,,,No Involvement,,,,Software,,,,Don't know,Enterprise,Java,,,,,,,,,,,,,,,Windows XP,I enjoy going to work,"$60,000 - $80,000",No,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,,,,,,,,,,,,,,,$100-$250,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Careers,1,Other Stack Exchange (please specify),ux
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,20-24,41070,Web Services,Mature Small Business (25-100),Web Application Developer,Influencer,Recommender,,,,,,,,Software,,,,"$10,001 - $25,000",SaaS,,JavaScript,CSS,PHP,Python,,,SQL,C#,,,,HTML5,,,Windows 7,Love my job,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,Other Smart Phone,,,,,,Other media streaming device,Netbook,,Xbox,,,,,,,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,3000,Stack Overflow,
India,,40-50,40944,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,20-24,41070,Web Services,Start Up (1-25),Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,,,,,,,,SQL,,C++,C,,,,,Windows 7,Its a paycheck,"<$20,000",Yes,No thank you,Don't have anything cool to put on a profile,,,,,,Other Smart Phone,,,,,,,,,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,,100,Stack Overflow,
Other Europe,,25-29,40944,Manufacturing,Start Up (1-25),Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Other,Java,,,,,,,,,,,,,,,Windows 7,I enjoy going to work,,No,Yes,,,,Android,,,,,,,,,,,,,,Other gaming system,,,,,$251-$500,Neutral,Agree,Neutral,Agree,Disagree,Disagree,,Don't have an account,Stack Overflow,
Other Europe,,20-24,40944,Web Services,Start Up (1-25),Server Programmer,,Recommender,,,,,,,,,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Web Platform,Java,JavaScript,CSS,PHP,Python,,,SQL,,,C,,,,,Windows XP,Its a paycheck,"<$20,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,,,,,,,,,,,,,,,desktop PC,$251-$500,,,,,,,,,,
Other Europe,,< 20,<2,Web Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,30-34,41070,Web Services,Start Up (1-25),Web Application Developer,,,,Purchaser,Check Writer,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"<$10,000",Web Platform,Java,JavaScript,CSS,PHP,Python,,,SQL,,C++,C,Perl,HTML5,,,Mac OS X,Love my job,"$40,000 - $60,000",Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,"$501-$1,000",Agree,Neutral,Neutral,Agree,Disagree,Disagree,,500,Stack Overflow,
Australia,,< 20,40944,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,30-34,41070,Software Products,Start Up (1-25),Desktop Application Developer,,Recommender,,,,,,,,,"User Equipment: Monitors, PCs, Laptops",,,Don't know,SaaS,,,,,,,,,C#,,,,,,,Windows 7,Love my job,Rather not say,Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,Kindle,,,,,,,,Wii,,,,,,"$1,001-$2,000",Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,,1,Stack Overflow,
Other Europe,,20-24,40944,Web Services,Mid Sized (100-999),Web Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,Java,JavaScript,,,,,,,,,,,,,,Windows 7,I enjoy going to work,Rather not say,No,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,,,,,,,Netbook,,,,,,,,,$100-$250,Agree,Agree,Agree,,Strongly Disagree,Disagree,,50,Stack Overflow,
United Kingdom,,35-39,11,Web Services,Start Up (1-25),Web Application Developer,,Recommender,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Web Platform,,,,,,,,SQL,C#,,,,,,vb.net,Windows 7,I enjoy going to work,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,,,,,,,,,,,,iPad,,,"$501-$1,000",Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Ummmm,1000,Stack Overflow,
France,,30-34,41070,Software Products,Start Up (1-25),Desktop Application Developer,,,,Purchaser,,,I'm a Seller,Hardware,,Software,,Consultants,,"<$10,000",Enterprise,Java,,,,,,,,,,,,,,,Windows 7,Love my job,,Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,<$100,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,,100,Stack Overflow,
Other Europe,,20-24,41070,Software Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,30-34,41070,Software Products,Start Up (1-25),Web Application Developer,,Recommender,,,,,,,,Software,,,,"<$10,000",Web Platform,,JavaScript,,,,,,,C#,,,,,,,Windows 7,I enjoy going to work,Rather not say,Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,PS3,,Wii,,,,,,$100-$250,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,,200,Stack Overflow,
Australia,,< 20,40944,Other,Student,Student,,,,,,No Involvement,,,,,,,,,Other,,JavaScript,CSS,,Python,Objective-C,,,,,C,,HTML5,,,Linux,I wish I had a job!,Student / Unemployed,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,Android,,,,,,,,,,,PS3,Xbox,Wii,Other gaming system,,,,,$251-$500,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,-,Don't have an account,Stack Overflow,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,25-29,40944,Web Services,Start Up (1-25),Server Programmer,Influencer,Recommender,,,,,,,,Software,,,,"<$10,000",Web Platform,Java,JavaScript,CSS,,,,,,,C++,C,,,,,Linux,Love my job,"$20,000 - $40,000",No,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,,,,,,,,"$1,001-$2,000",Neutral,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,"Some version control system, don't remember the name...",500,Stack Overflow,
India,,25-29,41070,Web Services,Mid Sized (100-999),Web Application Developer,Influencer,Recommender,,,,,,,,Software,,,,"<$10,000",Web Platform,Java,JavaScript,CSS,,,Objective-C,,SQL,,,,,HTML5,,,Windows XP,Its a paycheck,Rather not say,Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,Other Smart Phone,,,,,,,,,,,,,,,,">$3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,1,Stack Overflow,
United Kingdom,,30-34,11,Software Products,Mature Small Business (25-100),Desktop Application Developer,Influencer,Recommender,Approver,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",Enterprise,,JavaScript,CSS,PHP,,,,SQL,,C++,C,,HTML5,,,Windows 7,I enjoy going to work,"$60,000 - $80,000",Yes,Yes,,,,,,,,Regular Mobile Phone,Kindle,,,,,,,,,,,,,,$100-$250,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,,200,Stack Overflow,
Other Europe,,30-34,11,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Other,Java,JavaScript,,PHP,,,,SQL,C#,C++,C,,HTML5,,,Windows 7,Its a paycheck,Rather not say,Yes,No thank you,Don't have anything cool to put on a profile,,,Android,,,,,,,,,,Netbook,PS3,,,Other gaming system,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,50,Stack Overflow,
India,,20-24,40944,Other,Mid Sized (100-999),Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,,,,,Python,,,,,,C,,,,,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Asia,,20-24,40944,Software Products,Mid Sized (100-999),Web Application Developer,Influencer,Recommender,,,,,,,,Software,,,,Don't know,Enterprise,Java,,,,,,,SQL,C#,,,,,,ActionScript,Windows 7,Love my job,"<$20,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,Regular Mobile Phone,,,,,,,,,,,,,,"Laptop,Portable External Charger","$501-$1,000",Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,,3000,Stack Overflow,
Germany,,25-29,40944,Software Products,Mature Small Business (25-100),Desktop Application Developer,,Recommender,,,,No Involvement,,,,Software,,,,"<$10,000",Enterprise,Java,,,,,,,SQL,,,,,,,PL/SQL,Mac OS X,I'm not happy in my job,"$40,000 - $60,000",Yes,Yes,,,iPhone,,,,,,,,,,,,,,,,,,,,"$2,001-$3,000",Neutral,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,,500,Stack Overflow,
South America,,30-34,11,Finance / Banking,Start Up (1-25),Server Programmer,Influencer,Recommender,,,,,I'm a Seller,,,Software,,Consultants,,Don't know,Enterprise,Java,,,,,,,SQL,,,C,,,,,Linux,Love my job,"$20,000 - $40,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,,,,,,,,,,,"$501-$1,000",Agree,Neutral,Agree,,Disagree,Disagree,plastic scm,1000,Stack Overflow,
Other Europe,,30-34,41070,Other,Mature Small Business (25-100),Manager of Developers or Team Leader,,,,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"$10,001 - $25,000",Web Platform,Java,JavaScript,CSS,PHP,Python,,,SQL,,C++,C,,HTML5,,,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,25-29,41070,Education,Mature Small Business (25-100),Manager of Developers or Team Leader,,Recommender,,,,,,,,Software,,,,Don't know,Web Platform,,,CSS,PHP,,,,SQL,,,,,HTML5,,R,Mac OS X,I enjoy going to work,"$40,000 - $60,000",Yes,Yes,,,,Android,,,,,,,,,,,PS3,,,,,,,Kindle DX,"$501-$1,000",Neutral,Disagree,Neutral,Agree,Disagree,Neutral,"careers, server fault, mostly stackexchange ads",2000,Stack Overflow,
Italy,,25-29,40944,Software Products,Start Up (1-25),Embedded Application Developer,,Recommender,,,,,,,,Software,,,,"<$10,000",Mobile,Java,,CSS,,,,,SQL,,,,,HTML5,,,Windows 7,I enjoy going to work,"<$20,000",No,No thank you,Didn't know about Careers before you asked,,,Android,,,,,,,,,,,,,,,,,,,"$501-$1,000",Agree,Disagree,Agree,,Strongly Disagree,Disagree,,1,Stack Overflow,
Middle East,,25-29,40944,Web Services,Mature Small Business (25-100),Web Application Developer,Influencer,Recommender,,,,,,Hardware,Servers,Software,,,,Don't know,Web Platform,Java,JavaScript,CSS,,Python,,,,,,,,HTML5,,,Windows 7,I enjoy going to work,Rather not say,Yes,Yes,,,iPhone,,,,,,,,,Boxee,Other media streaming device,Netbook,PS3,,,,,iPad,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Agree,Disagree,Disagree,NA,200,Stack Overflow,
United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,35-39,41070,Consulting,"Other (not working, consultant, etc.)",Server Programmer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,,,,,SQL,C#,,,,,,,Windows 7,Its a paycheck,Rather not say,No,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,,Netbook,PS3,Xbox,Wii,Other gaming system,,,,,">$3,000",,,,,,,,,,
United Kingdom,,20-24,40944,Advertising,Start Up (1-25),Web Application Developer,Influencer,Recommender,,Purchaser,,,,,,Software,,,,"<$10,000",Mobile,,JavaScript,CSS,PHP,,Objective-C,,,,,,,HTML5,,,Mac OS X,Love my job,"$20,000 - $40,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,Kindle,,,,,,,Xbox,,,,,,,"$501-$1,000",Neutral,Disagree,Disagree,Strongly Agree,Agree,Neutral,,1000,Stack Overflow,
Other Europe,,20-24,<2,Web Services,Mature Small Business (25-100),Web Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,30-34,11,Consulting,Start Up (1-25),Server Programmer,Influencer,,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,Don't know,Enterprise,,,,,,,,,C#,,,,,,F#,Windows 7,I enjoy going to work,Rather not say,Yes,Yes,,,,,,Windows Phone,,Regular Mobile Phone,,,,,,,,,,,,,,,<$100,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,,2000,None,
United Kingdom,,40-50,40944,Consulting,Mid Sized (100-999),Web Application Developer,Influencer,,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Enterprise,Java,JavaScript,CSS,,,,,SQL,,,,,,,,Windows XP,I enjoy going to work,"$40,000 - $60,000",Yes,Yes,,,,Android,,,,,Kindle,,,,,,,,,,,,,,"$2,001-$3,000",Agree,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Open source stuff,3000,Stack Overflow,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,25-29,41070,Software Products,Mid Sized (100-999),Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,,CSS,PHP,Python,Objective-C,Ruby,SQL,,C++,C,,,,,Linux,I'm not happy in my job,"$60,000 - $80,000",Yes,No thank you,Couldn't get an invite,,,Android,,,,,,,,,,Netbook,,,,,,,,,$251-$500,,,,,,,,,,
Germany,,25-29,40944,Finance / Banking,Mid Sized (100-999),Web Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,Java,JavaScript,,PHP,,,,,,,C,,,,,Windows 7,Its a paycheck,"$40,000 - $60,000",No,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,Regular Mobile Phone,,,,,Other media streaming device,,,,Wii,,,,,,"$1,001-$2,000",Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,,Don't have an account,Stack Overflow,
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,35-39,41070,Software Products,Start Up (1-25),IT Manager,Influencer,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Other,Java,,,,,,,,,,,,,,,Windows 7,Its a paycheck,Rather not say,Yes,Yes,,,,Android,,,,,,,,,Other media streaming device,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Disagree,"Some cloud services provider, forgot the name",1000,Stack Overflow,
Italy,,30-34,41070,Manufacturing,"Fortune 1000 (1,000+)",Desktop Application Developer,Influencer,,,,,,,,,Software,,,,"<$10,000",Enterprise,,,CSS,,,,,SQL,C#,,C,,,,VB.NET,Windows XP,I enjoy going to work,"$20,000 - $40,000",No,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,,,,,Wii,Other gaming system,,,Other tablet,,"$501-$1,000",Neutral,Agree,Agree,Neutral,Disagree,Neutral,,1000,Other Stack Exchange (please specify),Gaming
India,,25-29,<2,Software Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Asia,,25-29,40944,Web Services,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",Influencer,Recommender,Approver,Purchaser,Check Writer,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"$10,001 - $25,000",Web Platform,,,,PHP,,,,SQL,,,,,,,,Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,25-29,41070,Consulting,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,,,Software,,,Other,"<$10,000",Web Platform,Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,,Windows XP,Its a paycheck,"$40,000 - $60,000",Yes,Yes,,,,,,,,Regular Mobile Phone,,,,,,,,,,,,,,,<$100,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,"fogbugz, careers, pasticscm",1000,Stack Overflow,
India,,25-29,41070,Web Services,Mid Sized (100-999),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,Java,JavaScript,CSS,PHP,,,,SQL,,C++,C,,HTML5,,,Linux,I'm not happy in my job,"<$20,000",No,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,Android,Blackberry,,,,,,,,,,,,,,,,,,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,1,Stack Overflow,
India,,25-29,40944,Software Products,"Fortune 1000 (1,000+)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,Java,,,,,,,SQL,,,,,,,,Windows XP,I'm not happy in my job,"<$20,000",No,No thank you,Didn't know about Careers before you asked,,,Android,,,Other Smart Phone,,,,,,,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,10000,Stack Overflow,
Other Europe,,30-34,41070,Software Products,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Mobile,Java,JavaScript,CSS,,,Objective-C,Ruby,SQL,C#,C++,C,,HTML5,,,Windows 7,I enjoy going to work,Rather not say,Yes,Yes,,,,,,,Other Smart Phone,,,,,,,Netbook,PS3,Xbox,,,,iPad,,,"$2,001-$3,000",Agree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Survey Gopher,3000,Stack Overflow,
United Kingdom,,35-39,11,Software Products,Mature Small Business (25-100),Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,Python,,,,,C++,C,,,,ARM Assembly,Mac OS X,Its a paycheck,"$60,000 - $80,000",Yes,Yes,,,iPhone,Android,,,,,,,,,,,PS3,,Wii,,,,,,"$501-$1,000",Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,,5000,Stack Overflow,
South America,,20-24,40944,Software Products,Mid Sized (100-999),Web Application Developer,Influencer,Recommender,,,,,,,,Software,,,,Don't know,Web Platform,Java,JavaScript,CSS,,,,,,C#,,,,HTML5,,,Windows 7,I enjoy going to work,Rather not say,No,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,,,,,,Netbook,,,,,,,,,$251-$500,Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,,2000,Stack Overflow,
Germany,,25-29,41070,Consulting,Mature Small Business (25-100),Web Application Developer,Influencer,Recommender,,,,,,,,Software,,,,Don't know,Web Platform,Java,JavaScript,CSS,,,Objective-C,,SQL,,,,,HTML5,,,Windows XP,I enjoy going to work,"$60,000 - $80,000",Yes,Yes,,,iPhone,,,,,,,,AppleTV,,,,,,,,,iPad,,,"$1,001-$2,000",Disagree,Neutral,Agree,Agree,Strongly Disagree,Neutral,This open source campaign as well as ads for other sites in the stackexchange network.,5000,Stack Overflow,
United Kingdom,,20-24,40944,Finance / Banking,"Fortune 1000 (1,000+)",Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Other,Java,,,,Python,,,,,C++,C,Perl,,,,Windows XP,I enjoy going to work,"$40,000 - $60,000",No,Yes,,,,Android,,,,,Kindle,,,,,Netbook,,,,,,iPad,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,,Don't have an account,Stack Overflow,
India,,20-24,<2,Software Products,Mature Small Business (25-100),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,Java,JavaScript,,,,,,SQL,,,,,,,,Linux,I enjoy going to work,"<$20,000",Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,<$100,Neutral,Strongly Agree,Agree,Agree,Disagree,Neutral,Careers 2.0,100,Stack Overflow,
India,,25-29,40944,Finance / Banking,Mid Sized (100-999),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,Java,,CSS,,,,,SQL,,,,,,,Unix and Batch scripting,Windows 7,I'm not happy in my job,"<$20,000",Yes,Yes,,,iPhone,,,,,,,,,,,,,,,,,,,,<$100,Agree,Neutral,Agree,Disagree,Disagree,Neutral,,500,Stack Overflow,
Australia,,30-34,41070,Finance / Banking,Mid Sized (100-999),Web Application Developer,,Recommender,,,,No Involvement,,,,,,,Other,"<$10,000",Web Platform,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Windows XP,I enjoy going to work,"$80,000 - $100,000",Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,$251-$500,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,,2000,Stack Overflow,
India,,30-34,40944,Web Services,Start Up (1-25),Server Programmer,Influencer,,,,,,,Hardware,Servers,,,,,Don't know,Web Platform,,JavaScript,CSS,PHP,Python,,,,,,,,,,,Linux,I enjoy going to work,Rather not say,No,No thank you,Didn't know about Careers before you asked,,,Android,,,,,,,,,,,,,,,,,,,$251-$500,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Don't have an account,Stack Overflow,
Other Europe,,20-24,40944,Software Products,Mature Small Business (25-100),Embedded Application Developer,,,,,,No Involvement,,,,Software,,,,"<$10,000",Mobile,Java,JavaScript,,,,,,,,,,Perl,,,,Mac OS X,I enjoy going to work,"<$20,000",No,Yes,,,,Android,,,,,Kindle,,,,,,PS3,,,,,,,,"$501-$1,000",Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,,1,Stack Overflow,
Other Europe,,35-39,11,Other,Mature Small Business (25-100),Kernel / Driver Developer,Influencer,Recommender,,,,,,Hardware,,Software,,,,Don't know,Enterprise,Java,,,,,,,,,C++,C,,,,Delphi,Mac OS X,I enjoy going to work,"$80,000 - $100,000",Yes,Yes,,,iPhone,Android,,Windows Phone,Other Smart Phone,Regular Mobile Phone,,,AppleTV,,Other media streaming device,Netbook,PS3,Xbox,,,,iPad,,,"$2,001-$3,000",Agree,Agree,Agree,Agree,Disagree,Disagree,,3000,Stack Overflow,
India,,25-29,40944,Other,"Fortune 1000 (1,000+)",Kernel / Driver Developer,,Recommender,,Purchaser,,,,,,,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Other,,,,,,,,,,C++,C,,,,,Windows 7,I'm not happy in my job,Rather not say,No,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,,Kindle,,,,,,,,,,,,,MBP corei5 13.3,"$1,001-$2,000",Agree,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,,500,Programmers Stack Exchange,
Russia,,25-29,41070,Web Services,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,,CSS,PHP,Python,,,SQL,,,C,,,,,Linux,Its a paycheck,"<$20,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,,,,,,,Netbook,,,,,,,,,<$100,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,,100,Stack Overflow,
United Kingdom,,30-34,11,Consulting,"Fortune 1000 (1,000+)",Web Application Developer,Influencer,Recommender,,,,,,,,Software,,,,"<$10,000",Enterprise,,,,,,,,SQL,C#,,,,,,,Windows 7,Its a paycheck,"$60,000 - $80,000",Yes,Yes,,,,Android,,,,,,,,,,,PS3,,Wii,,,,,,$251-$500,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,,500,Stack Overflow,
India,,20-24,<2,Web Services,Start Up (1-25),Embedded Application Developer,Influencer,,,,,,,,,Software,,,,Don't know,Mobile,Java,,,,,,,SQL,,,C,,HTML5,,,Windows 7,Love my job,"<$20,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,,,,,,,,,,,,,,,nokia,<$100,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,career,1,Stack Overflow,
